ID;longitude;latitude
353;55,55973651;-21,3497889
354;55,55879906;-21,349022
355;55,56014807;-21,3491149
356;55,55940515;-21,3491627
357;55,55912159;-21,3702708
358;55,57271596;-21,3606582
359;55,55787613;-21,3497277
360;55,55970909;-21,3496351
361;55,57677855;-21,3113984
362;55,57740188;-21,3117379
376;55,58089589;-21,3283344
386;55,58229161;-21,3365935
388;55,55536099;-21,3377643
389;55,58223811;-21,3371441
390;55,55195266;-21,3382589
391;55,58608445;-21,3402297
394;55,56231083;-21,3438761
399;55,58548622;-21,3453014
400;55,55443697;-21,3474399
406;55,57612919;-21,3527199
407;55,58177166;-21,3525599
408;55,54441341;-21,3548147
409;55,54464793;-21,3545005
412;55,58054098;-21,3581952
413;55,5867656;-21,3586904
415;55,55053256;-21,3581557
416;55,5399549;-21,3610178
418;55,53990069;-21,3616226
421;55,57266563;-21,3598809
422;55,58071997;-21,3606357
427;55,55394545;-21,3680493
428;55,5542702;-21,3683682
429;55,56173708;-21,3690737
430;55,56225327;-21,3685542
431;55,56262313;-21,3682051
432;55,56873692;-21,3682303
433;55,5672865;-21,3706117
434;55,56732973;-21,3701333
435;55,56762418;-21,3705965
436;55,56738442;-21,3704589
437;55,56783239;-21,3700111
438;55,56817718;-21,3692643
449;55,5690463;-21,3661643
450;55,56896022;-21,3660913
451;55,55892892;-21,3495471
458;55,53924564;-21,2142227
459;55,69586739;-21,1101358
464;55,60702106;-21,3346865
487;55,29177602;-21,07793
489;55,3339421;-21,0127173
497;55,55189367;-21,295125
500;55,7274331;-21,0956866
526;55,4861092;-21,2697595
552;55,60751236;-21,3296229
574;55,43430529;-21,2949122
575;55,5655835;-21,2699943
613;55,25994992;-21,0630824
650;55,68311619;-21,0462135
655;55,4883911;-21,3236799
661;55,48781532;-21,3234218
675;55,40823399;-21,202497
690;55,35413482;-21,2316055
711;55,23282699;-21,0261127
735;55,53451434;-21,3185149
744;55,4695867;-21,2291876
748;55,4814822;-21,2351033
757;55,49057781;-21,3012074
797;55,61231261;-21,319482
800;55,29185713;-21,0775695
815;55,6968854;-21,031992
842;55,57289615;-21,3061533
850;55,27724803;-21,042493
855;55,46993262;-21,2283416
884;55,32158568;-21,1622129
886;55,59404213;-21,3318052
950;55,60885552;-21,3395255
962;55,59908645;-21,3620456
972;55,52649281;-21,2295587
975;55,48954636;-21,2710189
980;55,48743405;-21,2881626
983;55,61444671;-21,348876
1015;55,69498771;-21,0267107
1027;55,61003675;-21,3349102
1056;55,7340841;-21,0753288
1057;55,59762382;-21,3343464
1058;55,29211233;-21,0366635
1071;55,5914622;-20,9689097
1095;55,3709526;-21,2818278
1120;55,61489993;-21,3252576
1181;55,54715902;-21,3178748
1187;55,32136859;-21,0359614
