Id;X;Y;Surface;Altitude;Type;Maladie;Date
1339;55,58642622;-20,97631355;16079,43123;634,2535001;Officiel;0;26/06/2018
1348;55,23824912;-21,0378507;55177,73;89,21319213;NA;NA;NA
1359;55,59715835;-21,34149039;2594,157979;584,239381;NA;NA;NA
1360;55,2671756;-21,05572758;7570,530677;392,2973195;Officiel;0;19/02/2019
1365;55,5955353;-21,35070869;10236,24848;434,2076176;NA;NA;NA
1366;55,54162177;-21,0320894;4957,133818;548,4234126;NA;NA;NA
1382;55,47081847;-21,22438127;9801,15832;503,0125431;NA;NA;NA
1383;55,47095454;-21,22442646;2752,612608;492,3331182;Officiel;0;06/08/2019
1404;55,59397394;-21,32989955;3676,97905;807,5395008;NA;NA;NA
1428;55,59160085;-21,33576316;4775,671087;683,4936176;NA;NA;NA
1429;55,38816452;-21,25833297;31973,72358;136,7035622;Officiel;0;06/08/2019
1439;55,59180395;-21,33960397;3111,238185;618,7193584;NA;NA;NA
1454;55,69470536;-21,03187494;11805,70283;94,19527998;NA;NA;NA
1490;55,22573316;-21,04311564;41531,90296;54,00151525;Officiel;0;31/07/2018
1526;55,56097319;-21,27508207;4133,114654;1043,819028;Mixte;1;18/09/2018
1529;55,69907676;-21,11103021;10103,73554;441,2714878;Officiel;0;03/09/2019
1546;55,61547188;-21,32140962;11374,13245;805,2769518;NA;NA;NA
1560;55,3065102;-21,0482775;21094,41195;755,568278;Officiel;0;19/02/2019
1585;55,60847482;-21,32489675;17101,08793;679,5998967;NA;NA;NA
1605;55,2736907;-21,05778621;3961,265605;429,6636017;NA;NA;NA
1608;55,61369054;-21,3226397;7031,859712;772,3199424;NA;NA;NA
1630;55,59240986;-21,3381962;2232,684913;644,9276155;NA;NA;NA
1640;55,51863521;-21,23432775;4300,037364;955,6592427;Officiel;0;28/08/2018
1657;55,68973088;-21,10937233;5831,52602;535,5731987;Officiel;0;03/09/2019
1684;55,59552327;-21,33047006;12053,02185;803,7601125;NA;NA;NA
1723;55,55096607;-21,31639429;6845,001345;688,1373481;Officiel;0;01/01/2017
1743;55,48731254;-21,30239259;1222,679054;234,351578;NA;NA;NA
1745;55,35089578;-21,00905896;2960,063324;953,328575;Officiel;0;19/02/2019
1776;55,46457987;-21,14976232;3584,314874;1060,232362;NA;NA;NA
1783;55,46484444;-21,25756591;3733,355212;395,0684308;NA;NA;NA
1789;55,46426369;-21,25892385;1240,786112;384,5284915;NA;NA;NA
1790;55,46569436;-21,14685525;1200,006209;1040,262506;NA;NA;NA
1809;55,4423317;-21,25559664;2963,453195;354,724011;NA;NA;NA
1841;55,60918706;-21,33106345;7714,163731;645,1468576;NA;NA;NA
1845;55,55143608;-21,29539218;2097,471891;779,2108709;NA;NA;NA
1912;55,49167527;-21,27075703;13005,96775;417,4457063;NA;NA;NA
1914;55,49467028;-21,27827959;4821,006485;404,7441853;NA;NA;NA
1946;55,30261298;-21,05407777;14178,73669;750,9293672;Officiel;0;19/02/2019
