id;longitude;latitude;date
HLB19_0242;55,55998011;-21,349529;12/06/2019
HLB19_0243;55,55998011;-21,349529;12/06/2019
HLB19_0244;55,55998011;-21,349529;12/06/2019
HLB19_0245;55,55998011;-21,349529;12/06/2019
HLB19_0246;55,55998011;-21,349529;12/06/2019
HLB19_0247;55,55998011;-21,349529;12/06/2019
HLB19_0248;55,55998011;-21,349529;12/06/2019
HLB19_0249;55,55998011;-21,349529;12/06/2019
HLB19_0255;55,5604352;-21,3493342;12/06/2019
HLB19_0257;55,5604352;-21,3493342;12/06/2019
HLB19_0266;55,5604352;-21,3493342;12/06/2019
HLB19_0267;55,5604352;-21,3493342;12/06/2019
HLB19_0268;55,5604352;-21,3493342;12/06/2019
HLB19_0269;55,5604352;-21,3493342;12/06/2019
HLB19_0270;55,5604352;-21,3493342;12/06/2019
HLB19_0272;55,5604352;-21,3493342;12/06/2019
HLB19_0273;55,5604352;-21,3493342;12/06/2019
HLB19_0286;55,55944451;-21,3490818;12/06/2019
HLB19_0287;55,55944451;-21,3490818;12/06/2019
HLB19_0288;55,55944451;-21,3490818;12/06/2019
HLB19_0289;55,55944451;-21,3490818;12/06/2019
HLB19_0290;55,55944451;-21,3490818;12/06/2019
HLB19_0291;55,58404825;-21,328361;07/05/2019
HLB19_0292;55,58404825;-21,328361;07/05/2019
HLB19_0293;55,58404825;-21,328361;07/05/2019
HLB19_0294;55,58404825;-21,328361;07/05/2019
HLB19_0295;55,58404825;-21,328361;07/05/2019
HLB19_0296;55,58404825;-21,328361;07/05/2019
HLB19_0299;55,58404825;-21,328361;07/05/2019
HLB19_0300;55,58404825;-21,328361;07/05/2019
HLB19_0306;55,47760338;-21,0310912;19/08/2019
HLB19_0311;55,47742016;-21,0292378;20/08/2019
HLB19_0312;55,47742016;-21,0292378;20/08/2019
HLB19_0313;55,47742016;-21,0292378;20/08/2019
HLB19_0314;55,47742016;-21,0292378;20/08/2019
HLB19_0315;55,47742016;-21,0292378;20/08/2019
HLB19_0316;55,47753671;-21,0291304;20/08/2019
HLB19_0318;55,47753671;-21,0291304;20/08/2019
HLB19_0319;55,47753671;-21,0291304;20/08/2019
HLB19_0320;55,47753671;-21,0291304;20/08/2019
HLB19_0325;55,47686172;-21,0292779;20/08/2019
HLB19_0401;55,55413587;-21,3476631;11/10/2019
HLB19_0402;55,55413587;-21,3476631;11/10/2019
HLB19_0407;55,55413587;-21,3476631;11/10/2019
HLB19_0408;55,55413587;-21,3476631;11/10/2019
HLB19_0409;55,55413587;-21,3476631;11/10/2019
HLB19_0410;55,55413587;-21,3476631;11/10/2019
HLB19_0411;55,5450398;-21,357783;11/10/2019
HLB19_0412;55,5450398;-21,357783;11/10/2019
HLB19_0413;55,5450398;-21,357783;11/10/2019
HLB19_0414;55,5450398;-21,357783;11/10/2019
HLB19_0415;55,5450398;-21,357783;11/10/2019
HLB19_0416;55,5450398;-21,357783;11/10/2019
HLB19_0417;55,5450398;-21,357783;11/10/2019
HLB19_0418;55,5450398;-21,357783;11/10/2019
HLB19_0419;55,5450398;-21,357783;11/10/2019
HLB19_0420;55,5450398;-21,357783;11/10/2019
HLB19_0421;55,54650037;-21,3485276;11/10/2019
HLB19_0422;55,54650037;-21,3485276;11/10/2019
HLB19_0424;55,54650037;-21,3485276;11/10/2019
HLB19_0426;55,54612464;-21,3494729;11/10/2019
HLB19_0427;55,54612464;-21,3494729;11/10/2019
HLB19_0429;55,54612464;-21,3494729;11/10/2019
HLB19_0441;55,32634639;-21,1670112;18/10/2019
HLB19_0442;55,32634639;-21,1670112;18/10/2019
HLB19_0443;55,32634639;-21,1670112;18/10/2019
HLB19_0446;55,31900176;-21,2169968;18/10/2019
HLB19_0447;55,31900176;-21,2169968;18/10/2019
HLB19_0450;55,31900176;-21,2169968;18/10/2019
HLB19_0451;55,32610693;-21,1788777;18/10/2019
HLB19_0452;55,32610693;-21,1788777;18/10/2019
HLB19_0453;55,32610693;-21,1788777;18/10/2019
HLB19_0454;55,32610693;-21,1788777;18/10/2019
HLB19_0460;55,32157595;-21,1622218;18/10/2019
HLB19_0462;55,32061174;-21,1631878;18/10/2019
HLB19_0464;55,32061174;-21,1631878;18/10/2019
HLB19-0531;55,56173699;-21,3690828;31/10/2019
HLB19-0532;55,56173699;-21,3690828;31/10/2019
HLB19-0533;55,56173699;-21,3690828;31/10/2019
HLB19-0534;55,56173699;-21,3690828;31/10/2019
HLB19-0535;55,56173699;-21,3690828;31/10/2019
HLB19-0536;55,57069731;-21,3689425;31/10/2019
HLB19-0537;55,57069731;-21,3689425;31/10/2019
HLB19-0546;55,56262313;-21,3682051;31/10/2019
HLB19-0547;55,56262313;-21,3682051;31/10/2019
HLB19-0561;55,5852825;-21,3574855;08/11/2019
HLB19-0562;55,5852825;-21,3574855;08/11/2019
HLB19-0563;55,5852825;-21,3574855;08/11/2019
HLB19-0564;55,5852825;-21,3574855;08/11/2019
HLB19-0565;55,5852825;-21,3574855;08/11/2019
HLB19-0566;55,58142886;-21,3571188;08/11/2019
HLB19-0567;55,58142886;-21,3571188;08/11/2019
HLB19-0568;55,58142886;-21,3571188;08/11/2019
HLB19-0569;55,58142886;-21,3571188;08/11/2019
HLB19-0573;55,56019868;-21,334057;08/11/2019
HLB19-0574;55,56019868;-21,334057;08/11/2019
HLB19-0575;55,56019868;-21,334057;08/11/2019
HLB19-0576;55,58799533;-21,3390353;08/11/2019
HLB19-0577;55,58799533;-21,3390353;08/11/2019
HLB19-0581;55,58671207;-21,3401356;08/11/2019
HLB19-0583;55,58671207;-21,3401356;08/11/2019
HLB19-0584;55,58671207;-21,3401356;08/11/2019
HLB19-0596;55,58587452;-21,3400021;08/11/2019
HLB19-0597;55,58587452;-21,3400021;08/11/2019
HLB19-0598;55,58587452;-21,3400021;08/11/2019
HLB19-0599;55,58587452;-21,3400021;08/11/2019
HLB19-0600;55,58587452;-21,3400021;08/11/2019
HLB19-0603;55,55195266;-21,3382589;08/11/2019
HLB19-0604;55,55195266;-21,3382589;08/11/2019
HLB19-0605;55,55195266;-21,3382589;08/11/2019
HLB19-0607;55,58587452;-21,3400021;08/11/2019
HLB19-0616;55,58717935;-21,3587842;08/11/2019
HLB19-0623;55,55536099;-21,3377643;08/11/2019
HLB19-0624;55,55536099;-21,3377643;08/11/2019
HLB19-0625;55,55536099;-21,3377643;08/11/2019
HLB20-017;55,65974627;-21,0962041;09/01/2020
HLB20-018;55,65974627;-21,0962041;09/01/2020
HLB20-019;55,65974627;-21,0962041;09/01/2020
HLB20-020;55,65974627;-21,0962041;09/01/2020
HLB20-042;55,5985868;-21,3324394;15/01/2020
HLB20-051;55,59690228;-21,3321543;15/01/2020
HLB20-052;55,59690228;-21,3321543;15/01/2020
HLB20-053;55,59690228;-21,3321543;15/01/2020
HLB20-062;55,59550839;-21,3519707;15/01/2020
HLB20-066;55,59444277;-21,3555209;15/01/2020
HLB20-067;55,59444277;-21,3555209;15/01/2020
HLB20-068;55,59444277;-21,3555209;15/01/2020
HLB20-069;55,59444277;-21,3555209;15/01/2020
HLB20-070;55,59444277;-21,3555209;15/01/2020
HLB20-071;55,69606859;-21,0617071;15/01/2020
HLB20-072;55,69606859;-21,0617071;15/01/2020
HLB20-073;55,69606859;-21,0617071;15/01/2020
HLB20-074;55,69606859;-21,0617071;15/01/2020
HLB20-075;55,69606859;-21,0617071;15/01/2020
HLB20-076;55,59908645;-21,3620456;15/01/2020
HLB20-077;55,59908645;-21,3620456;15/01/2020
HLB20-078;55,59908645;-21,3620456;15/01/2020
HLB20-079;55,59908645;-21,3620456;15/01/2020
HLB20-080;55,59908645;-21,3620456;15/01/2020
HLB20-081;55,59553972;-21,3507063;15/01/2020
HLB20-083;55,59553972;-21,3507063;15/01/2020
HLB20-096;55,63781546;-21,3671159;15/01/2020
HLB20-104;55,5955203;-21,3304716;15/01/2020
HLB20-106;55,5955203;-21,3304716;15/01/2020
HLB20-156;55,60918599;-21,331064;15/01/2020
HLB20-157;55,60918599;-21,331064;15/01/2020
HLB20-158;55,60918599;-21,331064;15/01/2020
HLB20-160;55,60918599;-21,331064;15/01/2020
